"VMName","MetricId","TimestampUtc","SampleIntervalSeconds","RawValue","ConvertedValue","Unit","Disk instance","SegmentLevel","SegmentIntervalMinutes"
"Test","cpu.ready.summation","8/20/2026 2:30:20 AM","20","21","1.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:30:40 AM","20","40","2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:31:00 AM","20","24","1.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:31:20 AM","20","48","2.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:31:40 AM","20","88","4.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:32:00 AM","20","67","3.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:32:20 AM","20","71","3.55","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:32:40 AM","20","69","3.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:33:00 AM","20","87","4.35","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:33:20 AM","20","66","3.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:33:40 AM","20","68","3.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:34:00 AM","20","70","3.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:34:20 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:34:40 AM","20","73","3.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:35:00 AM","20","68","3.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:35:20 AM","20","52","2.6","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:35:40 AM","20","64","3.2","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:36:00 AM","20","53","2.65","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:36:20 AM","20","70","3.5","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:36:40 AM","20","76","3.8","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:37:00 AM","20","79","3.95","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:37:20 AM","20","80","4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:37:40 AM","20","97","4.85","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:38:00 AM","20","75","3.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:38:20 AM","20","75","3.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:38:40 AM","20","61","3.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:39:00 AM","20","94","4.7","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:39:20 AM","20","106","5.3","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:39:40 AM","20","109","5.45","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:40:00 AM","20","142","7.1","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:40:20 AM","20","148","7.4","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:40:40 AM","20","135","6.75","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:41:00 AM","20","101","5.05","millisecond","","n/a","0"
"Test","cpu.ready.summation","8/20/2026 2:41:20 AM","20","92","4.6","millisecond","","n/a","0"
