"Category","ServerName","Store","Subject","Issuer","NotBefore","NotAfter","Thumbprint","HasPrivateKey","FriendlyName","EnhancedKeyUsage","SubjectAltNames"
"Certificate","192.168.149.10","Root","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","5/10/2001 9:19:22 AM","5/10/2021 9:28:13 AM","CDD4EEAE6000AC7F40C3802C171E30148030C072","False","Microsoft Root Certificate Authority","",
"Certificate","192.168.149.10","Root","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","1/1/1997 11:00:00 AM","1/1/2021 10:59:59 AM","BE36A4562FB2EE05DBB3D32323ADF445084ED656","False","Thawte Timestamping CA","Time Stamping",
"Certificate","192.168.149.10","Root","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","1/10/1997 6:00:00 PM","12/31/2020 6:00:00 PM","A43489159A520F0D93D032CCAF37E7FE20A8B419","False","Microsoft Root Authority","",
"Certificate","192.168.149.10","Root","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","3/15/2012 11:00:00 AM","3/15/2032 10:59:59 AM","92B46C76E13054E104F230517E6E504D43AB10B5","False","","Code Signing","Directory Address:CN=MPKI-2048-1-111"
"Certificate","192.168.149.10","Root","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","3/23/2011 9:05:28 AM","3/23/2036 9:13:04 AM","8F43288AD272F3103B6FB1428485EA3014C0BCFE","False","Microsoft Root Certificate Authority 2011","",
"Certificate","192.168.149.10","Root","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","1/1/1995 7:00:01 PM","1/1/2000 10:59:59 AM","7F88CD7223F3C813818C994614A89C99FA3B5247","False","Microsoft Authenticode(tm) Root","Secure Email; Code Signing",
"Certificate","192.168.149.10","Root","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","6/24/2010 7:57:24 AM","6/24/2035 8:04:01 AM","3B1EFD3A66EA28B16697394703A72CA340A05BD5","False","Microsoft Root Certificate Authority 2010","",
"Certificate","192.168.149.10","Root","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","5/14/1997 2:12:59 AM","12/31/1999 10:59:59 AM","245C97DF7514E7CF2DF8BE72AE957B9E04741E85","False","Microsoft Timestamp Root","Time Stamping",
"Certificate","192.168.149.10","Root","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","5/12/1997 10:00:00 AM","1/8/2004 10:59:59 AM","18F7C1FCC3090203FD5BAA2F861A754976C8DD25","False","VeriSign Time Stamping CA","Time Stamping",
"Certificate","192.168.149.10","Root","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","DF3C24F9BFD666761B268073FE06D1CC8D4F82A4","False","DigiCert Global Root G2","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.10","Root","CN=USERTrust ECC Certification Authority, O=The USERTRUST Network, L=Jersey City, S=New Jersey, C=US","CN=USERTrust ECC Certification Authority, O=The USERTRUST Network, L=Jersey City, S=New Jersey, C=US","2/1/2010 11:00:00 AM","1/19/2038 10:59:59 AM","D1CBCA5DB2D52A7F693B674DE5F05A1D0C957DF0","False","Sectigo ECC","Client Authentication; Code Signing; Encrypting File System; Secure Email; IP security tunnel termination; IP security user; Server Authentication; Time Stamping",
"Certificate","192.168.149.10","Root","CN=ISRG Root X1, O=Internet Security Research Group, C=US","CN=ISRG Root X1, O=Internet Security Research Group, C=US","6/4/2015 9:04:38 PM","6/4/2035 9:04:38 PM","CABD2A79A1076A31F21D253635CB039D4329A5E8","False","ISRG Root X1","Client Authentication; Server Authentication",
"Certificate","192.168.149.10","Root","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","7E04DE896A3E666D00E687D33FFAD93BE83D349E","False","DigiCert Global Root G3","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.10","Root","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","1/29/1996 11:00:00 AM","8/2/2028 9:59:59 AM","742C3192E607E424EB4549542BE1BBC53E6174E2","False","VeriSign Class 3 Public Primary CA","Client Authentication; Code Signing; Secure Email; Server Authentication",
"Certificate","192.168.149.10","CA","CN=Root Agency","CN=Root Agency","5/29/1996 8:02:59 AM","1/1/2040 10:59:59 AM","FEE449EE0E3965A5246F000E87FDE2A065FD89D4","False","","",
"Certificate","192.168.149.10","CA","OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign, OU=VeriSign International Server CA - Class 3, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","4/17/1997 10:00:00 AM","10/25/2016 10:59:59 AM","D559A586669B08F46A30A133F8A9ED3D038E2EA8","False","","Server Authentication; Client Authentication; ; ",
"Certificate","192.168.149.10","CA","CN=Microsoft Windows Hardware Compatibility, OU=Microsoft Corporation, OU=Microsoft Windows Hardware Compatibility Intermediate CA, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","10/1/1997 5:00:00 PM","12/31/2002 6:00:00 PM","109F1CAED645BB78B3EA2B94C0697C740733031C","False","","Code Signing; Windows Hardware Driver Verification",
"Certificate","192.168.149.130","Root","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","5/10/2001 9:19:22 AM","5/10/2021 9:28:13 AM","CDD4EEAE6000AC7F40C3802C171E30148030C072","False","Microsoft Root Certificate Authority","",
"Certificate","192.168.149.130","Root","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","1/1/1997 11:00:00 AM","1/1/2021 10:59:59 AM","BE36A4562FB2EE05DBB3D32323ADF445084ED656","False","Thawte Timestamping CA","Time Stamping",
"Certificate","192.168.149.130","Root","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","1/10/1997 6:00:00 PM","12/31/2020 6:00:00 PM","A43489159A520F0D93D032CCAF37E7FE20A8B419","False","Microsoft Root Authority","",
"Certificate","192.168.149.130","Root","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","3/15/2012 11:00:00 AM","3/15/2032 10:59:59 AM","92B46C76E13054E104F230517E6E504D43AB10B5","False","","Code Signing","Directory Address:CN=MPKI-2048-1-111"
"Certificate","192.168.149.130","Root","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","3/23/2011 9:05:28 AM","3/23/2036 9:13:04 AM","8F43288AD272F3103B6FB1428485EA3014C0BCFE","False","Microsoft Root Certificate Authority 2011","",
"Certificate","192.168.149.130","Root","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","1/1/1995 7:00:01 PM","1/1/2000 10:59:59 AM","7F88CD7223F3C813818C994614A89C99FA3B5247","False","Microsoft Authenticode(tm) Root","Secure Email; Code Signing",
"Certificate","192.168.149.130","Root","CN=ClusInfraCert_20260811_113526011","CN=ClusInfraCert_20260811_113526011","7/12/2026 9:35:26 PM","8/11/2027 9:35:26 PM","5ABB1D81C0ACB294186DAAFE1B6CB57F2E61BFEA","False","Cluster Service Authentication Certificate","Server Authentication; Client Authentication",
"Certificate","192.168.149.130","Root","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","6/24/2010 7:57:24 AM","6/24/2035 8:04:01 AM","3B1EFD3A66EA28B16697394703A72CA340A05BD5","False","Microsoft Root Certificate Authority 2010","",
"Certificate","192.168.149.130","Root","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","5/14/1997 2:12:59 AM","12/31/1999 10:59:59 AM","245C97DF7514E7CF2DF8BE72AE957B9E04741E85","False","Microsoft Timestamp Root","Time Stamping",
"Certificate","192.168.149.130","Root","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","5/12/1997 10:00:00 AM","1/8/2004 10:59:59 AM","18F7C1FCC3090203FD5BAA2F861A754976C8DD25","False","VeriSign Time Stamping CA","Time Stamping",
"Certificate","192.168.149.130","Root","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","DF3C24F9BFD666761B268073FE06D1CC8D4F82A4","False","DigiCert Global Root G2","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.130","Root","CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3","CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3","3/18/2009 9:00:00 PM","3/18/2029 9:00:00 PM","D69B561148F01C77C54578C10926DF5B856976AD","False","GlobalSign Root CA - R3","Client Authentication; Code Signing; Encrypting File System; Secure Email; IP security tunnel termination; IP security user; Server Authentication; Time Stamping",
"Certificate","192.168.149.130","Root","CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US","11/10/2006 11:00:00 AM","11/10/2031 11:00:00 AM","A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436","False","DigiCert","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.130","Root","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","7E04DE896A3E666D00E687D33FFAD93BE83D349E","False","DigiCert Global Root G3","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.130","Root","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","1/29/1996 11:00:00 AM","8/2/2028 9:59:59 AM","742C3192E607E424EB4549542BE1BBC53E6174E2","False","VeriSign Class 3 Public Primary CA","Client Authentication; Code Signing; Secure Email; Server Authentication",
"Certificate","192.168.149.130","CA","CN=Root Agency","CN=Root Agency","5/29/1996 8:02:59 AM","1/1/2040 10:59:59 AM","FEE449EE0E3965A5246F000E87FDE2A065FD89D4","False","","",
"Certificate","192.168.149.130","CA","OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign, OU=VeriSign International Server CA - Class 3, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","4/17/1997 10:00:00 AM","10/25/2016 10:59:59 AM","D559A586669B08F46A30A133F8A9ED3D038E2EA8","False","","Server Authentication; Client Authentication; ; ",
"Certificate","192.168.149.130","CA","CN=Microsoft Windows Hardware Compatibility, OU=Microsoft Corporation, OU=Microsoft Windows Hardware Compatibility Intermediate CA, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","10/1/1997 5:00:00 PM","12/31/2002 6:00:00 PM","109F1CAED645BB78B3EA2B94C0697C740733031C","False","","Code Signing; Windows Hardware Driver Verification",
"Certificate","192.168.149.132","Root","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","5/10/2001 9:19:22 AM","5/10/2021 9:28:13 AM","CDD4EEAE6000AC7F40C3802C171E30148030C072","False","Microsoft Root Certificate Authority","",
"Certificate","192.168.149.132","Root","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","1/1/1997 11:00:00 AM","1/1/2021 10:59:59 AM","BE36A4562FB2EE05DBB3D32323ADF445084ED656","False","Thawte Timestamping CA","Time Stamping",
"Certificate","192.168.149.132","Root","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","1/10/1997 6:00:00 PM","12/31/2020 6:00:00 PM","A43489159A520F0D93D032CCAF37E7FE20A8B419","False","Microsoft Root Authority","",
"Certificate","192.168.149.132","Root","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","CN=Symantec Enterprise Mobile Root for Microsoft, O=Symantec Corporation, C=US","3/15/2012 11:00:00 AM","3/15/2032 10:59:59 AM","92B46C76E13054E104F230517E6E504D43AB10B5","False","","Code Signing","Directory Address:CN=MPKI-2048-1-111"
"Certificate","192.168.149.132","Root","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","3/23/2011 9:05:28 AM","3/23/2036 9:13:04 AM","8F43288AD272F3103B6FB1428485EA3014C0BCFE","False","Microsoft Root Certificate Authority 2011","",
"Certificate","192.168.149.132","Root","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","1/1/1995 7:00:01 PM","1/1/2000 10:59:59 AM","7F88CD7223F3C813818C994614A89C99FA3B5247","False","Microsoft Authenticode(tm) Root","Secure Email; Code Signing",
"Certificate","192.168.149.132","Root","CN=ClusInfraCert_20260811_113526011","CN=ClusInfraCert_20260811_113526011","7/12/2026 9:35:26 PM","8/11/2027 9:35:26 PM","5ABB1D81C0ACB294186DAAFE1B6CB57F2E61BFEA","False","Cluster Service Authentication Certificate","Server Authentication; Client Authentication",
"Certificate","192.168.149.132","Root","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","6/24/2010 7:57:24 AM","6/24/2035 8:04:01 AM","3B1EFD3A66EA28B16697394703A72CA340A05BD5","False","Microsoft Root Certificate Authority 2010","",
"Certificate","192.168.149.132","Root","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","5/14/1997 2:12:59 AM","12/31/1999 10:59:59 AM","245C97DF7514E7CF2DF8BE72AE957B9E04741E85","False","Microsoft Timestamp Root","Time Stamping",
"Certificate","192.168.149.132","Root","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=""NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc."", OU=VeriSign Time Stamping Service Root, OU=""VeriSign, Inc."", O=VeriSign Trust Network","5/12/1997 10:00:00 AM","1/8/2004 10:59:59 AM","18F7C1FCC3090203FD5BAA2F861A754976C8DD25","False","VeriSign Time Stamping CA","Time Stamping",
"Certificate","192.168.149.132","Root","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","DF3C24F9BFD666761B268073FE06D1CC8D4F82A4","False","DigiCert Global Root G2","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.132","Root","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","CN=DigiCert Global Root G3, OU=www.digicert.com, O=DigiCert Inc, C=US","8/1/2013 10:00:00 PM","1/15/2038 11:00:00 PM","7E04DE896A3E666D00E687D33FFAD93BE83D349E","False","DigiCert Global Root G3","Client Authentication; Code Signing; Secure Email; Server Authentication; Time Stamping",
"Certificate","192.168.149.132","Root","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","1/29/1996 11:00:00 AM","8/2/2028 9:59:59 AM","742C3192E607E424EB4549542BE1BBC53E6174E2","False","VeriSign Class 3 Public Primary CA","Client Authentication; Code Signing; Secure Email; Server Authentication",
"Certificate","192.168.149.132","CA","CN=Root Agency","CN=Root Agency","5/29/1996 8:02:59 AM","1/1/2040 10:59:59 AM","FEE449EE0E3965A5246F000E87FDE2A065FD89D4","False","","",
"Certificate","192.168.149.132","CA","OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign, OU=VeriSign International Server CA - Class 3, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","4/17/1997 10:00:00 AM","10/25/2016 10:59:59 AM","D559A586669B08F46A30A133F8A9ED3D038E2EA8","False","","Server Authentication; Client Authentication; ; ",
"Certificate","192.168.149.132","CA","CN=Microsoft Windows Hardware Compatibility, OU=Microsoft Corporation, OU=Microsoft Windows Hardware Compatibility Intermediate CA, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","10/1/1997 5:00:00 PM","12/31/2002 6:00:00 PM","109F1CAED645BB78B3EA2B94C0697C740733031C","False","","Code Signing; Windows Hardware Driver Verification",
