"Category","ServerName","Name","DisplayName","FeatureType","Path","Depth","Parent"
"Feature","192.168.149.10","File-Services","File and iSCSI Services","Role Service","File and Storage Services\File and iSCSI Services","2","FileAndStorage-Services"
"Feature","192.168.149.10","FS-FileServer","File Server","Role Service","File and Storage Services\File and iSCSI Services\File Server","3","File-Services"
"Feature","192.168.149.10","Storage-Services","Storage Services","Role Service","File and Storage Services\Storage Services","2","FileAndStorage-Services"
"Feature","192.168.149.10","NET-Framework-45-Features",".NET Framework 4.6 Features","Feature",".NET Framework 4.6 Features","1",
"Feature","192.168.149.10","NET-Framework-45-Core",".NET Framework 4.6","Feature",".NET Framework 4.6 Features\.NET Framework 4.6","2","NET-Framework-45-Features"
"Feature","192.168.149.10","NET-WCF-Services45","WCF Services","Feature",".NET Framework 4.6 Features\WCF Services","2","NET-Framework-45-Features"
"Feature","192.168.149.10","NET-WCF-TCP-PortSharing45","TCP Port Sharing","Feature",".NET Framework 4.6 Features\WCF Services\TCP Port Sharing","3","NET-WCF-Services45"
"Feature","192.168.149.10","GPMC","Group Policy Management","Feature","Group Policy Management","1",
"Feature","192.168.149.10","RSAT","Remote Server Administration Tools","Feature","Remote Server Administration Tools","1",
"Feature","192.168.149.10","RSAT-Role-Tools","Role Administration Tools","Feature","Remote Server Administration Tools\Role Administration Tools","2","RSAT"
"Feature","192.168.149.10","RSAT-AD-Tools","AD DS and AD LDS Tools","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools","3","RSAT-Role-Tools"
"Feature","192.168.149.10","RSAT-AD-PowerShell","Active Directory module for Windows PowerShell","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\Active Directory module for Windows PowerShell","4","RSAT-AD-Tools"
"Feature","192.168.149.10","RSAT-ADDS","AD DS Tools","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\AD DS Tools","4","RSAT-AD-Tools"
"Feature","192.168.149.10","RSAT-AD-AdminCenter","Active Directory Administrative Center","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\AD DS Tools\Active Directory Administrative Center","5","RSAT-ADDS"
"Feature","192.168.149.10","RSAT-ADDS-Tools","AD DS Snap-Ins and Command-Line Tools","Feature","Remote Server Administration Tools\Role Administration Tools\AD DS and AD LDS Tools\AD DS Tools\AD DS Snap-Ins and Command-Line Tools","5","RSAT-ADDS"
"Feature","192.168.149.10","RSAT-DNS-Server","DNS Server Tools","Feature","Remote Server Administration Tools\Role Administration Tools\DNS Server Tools","3","RSAT-Role-Tools"
"Feature","192.168.149.10","FS-SMB1","SMB 1.0/CIFS File Sharing Support","Feature","SMB 1.0/CIFS File Sharing Support","1",
"Feature","192.168.149.10","Windows-Defender-Features","Windows Defender Features","Feature","Windows Defender Features","1",
"Feature","192.168.149.10","Windows-Defender","Windows Defender","Feature","Windows Defender Features\Windows Defender","2","Windows-Defender-Features"
"Feature","192.168.149.10","Windows-Defender-Gui","GUI for Windows Defender","Feature","Windows Defender Features\GUI for Windows Defender","2","Windows-Defender-Features"
"Feature","192.168.149.10","PowerShellRoot","Windows PowerShell","Feature","Windows PowerShell","1",
"Feature","192.168.149.10","PowerShell","Windows PowerShell 5.1","Feature","Windows PowerShell\Windows PowerShell 5.1","2","PowerShellRoot"
"Feature","192.168.149.10","PowerShell-ISE","Windows PowerShell ISE","Feature","Windows PowerShell\Windows PowerShell ISE","2","PowerShellRoot"
"Feature","192.168.149.10","WoW64-Support","WoW64 Support","Feature","WoW64 Support","1",
"Feature","192.168.149.130","Storage-Services","Storage Services","Role Service","File and Storage Services\Storage Services","2","FileAndStorage-Services"
"Feature","192.168.149.130","NET-Framework-45-Features",".NET Framework 4.6 Features","Feature",".NET Framework 4.6 Features","1",
"Feature","192.168.149.130","NET-Framework-45-Core",".NET Framework 4.6","Feature",".NET Framework 4.6 Features\.NET Framework 4.6","2","NET-Framework-45-Features"
"Feature","192.168.149.130","NET-WCF-Services45","WCF Services","Feature",".NET Framework 4.6 Features\WCF Services","2","NET-Framework-45-Features"
"Feature","192.168.149.130","NET-WCF-TCP-PortSharing45","TCP Port Sharing","Feature",".NET Framework 4.6 Features\WCF Services\TCP Port Sharing","3","NET-WCF-Services45"
