"Category","ServerName","DisplayName","DisplayVersion","Publisher","InstallDate","InstallLocation","UninstallString","Architecture"
"InstalledApplication","WIN-DEMO-APP03","Service Pack 2 for SQL Server 2016 (KB4052908) (64-bit)","13.2.5026.0","Microsoft Corporation","20260810",,"""C:\Program Files\Microsoft SQL Server\130\Setup Bootstrap\Update Cache\KB4052908\ServicePack\setup.exe"" /Action=RemovePatch /AllInstances ","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2016 (64-bit)",,"Microsoft Corporation",,,"""C:\Program Files\Microsoft SQL Server\130\Setup Bootstrap\SQLServer2016\x64\SetupARP.exe""","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2016 Setup (English)","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /X{0FDFF68C-E6E6-414E-AB66-B9AA896A5491}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2012 Native Client ","11.3.6518.0","Microsoft Corporation","20260810","","MsiExec.exe /I{1385D3DB-8E80-427B-91D2-B7535862B8E4}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260810","","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft VSS Writer for SQL Server 2016","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{3E013EB4-FF9E-4CCA-BAB6-318932614FAE}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2016 T-SQL ScriptDom ","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{4E5A8BEC-BEB0-4E74-8B0D-8C6728697A0A}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2008 Setup Support Files ","10.3.5500.0","Microsoft Corporation","20260810","","MsiExec.exe /X{6292D514-17A4-403F-98F9-E150F10C043D}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft ODBC Driver 13 for SQL Server","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{A5B9FE63-24F8-49BF-B657-FEA9342696B0}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server 2016 T-SQL Language Service ","13.0.14500.10","Microsoft Corporation","20260810","","MsiExec.exe /I{FE3BF1DD-677E-4793-9770-C07AECC88882}","x64"
"InstalledApplication","WIN-DEMO-APP03","Microsoft SQL Server Data-Tier Application Framework (x86)","13.0.3225.4","Microsoft Corporation","20260810","","MsiExec.exe /X{5084D16B-E1D2-4F25-8B86-A03B4F9E1A72}","x86"
"InstalledApplication","WIN-DEMO-APP03","Browser for SQL Server 2016","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /X{5B860485-0F07-41DC-BA8C-3A839A141FBA}","x86"
"InstalledApplication","WIN-DEMO-APP03","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260810","","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}","x86"
"InstalledApplication","WIN-DEMO-APP01","Service Pack 2 for SQL Server 2016 (KB4052908) (64-bit)","13.2.5026.0","Microsoft Corporation","20260813",,"""C:\Program Files\Microsoft SQL Server\130\Setup Bootstrap\Update Cache\KB4052908\ServicePack\setup.exe"" /Action=RemovePatch /AllInstances ","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Help Viewer 1.1","1.1.40219","Microsoft Corporation",,"C:\Program Files\Microsoft Help Viewer\v1.0\","C:\Program Files\Microsoft Help Viewer\v1.0\Microsoft Help Viewer 1.1\install.exe","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2016 (64-bit)",,"Microsoft Corporation",,,"""C:\Program Files\Microsoft SQL Server\130\Setup Bootstrap\SQLServer2016\x64\SetupARP.exe""","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2016 Setup (English)","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /X{0FDFF68C-E6E6-414E-AB66-B9AA896A5491}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2012 Native Client ","11.3.6518.0","Microsoft Corporation","20260810","","MsiExec.exe /I{1385D3DB-8E80-427B-91D2-B7535862B8E4}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260810","","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft VSS Writer for SQL Server 2016","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{3E013EB4-FF9E-4CCA-BAB6-318932614FAE}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2016 T-SQL ScriptDom ","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{4E5A8BEC-BEB0-4E74-8B0D-8C6728697A0A}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2008 Setup Support Files ","10.3.5500.0","Microsoft Corporation","20260810","","MsiExec.exe /X{6292D514-17A4-403F-98F9-E150F10C043D}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft ODBC Driver 13 for SQL Server","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /I{A5B9FE63-24F8-49BF-B657-FEA9342696B0}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server 2016 T-SQL Language Service ","13.0.14500.10","Microsoft Corporation","20260810","","MsiExec.exe /I{FE3BF1DD-677E-4793-9770-C07AECC88882}","x64"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23506","14.0.23506.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{23daf363-3020-4059-b3ae-dc4ad39fed19}\VC_redist.x86.exe""  /uninstall","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual Studio Tools for Applications 2015 Language Support","14.0.23107.10","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{353253a9-15a3-4727-b415-79b4e6be765e}\vsta_ls.exe""  /uninstall","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506","14.0.23506.0","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{3ee5e5bb-b7cc-4556-8861-a00a82977d6c}\VC_redist.x64.exe""  /uninstall","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft SQL Server Data-Tier Application Framework (x86)","13.0.3225.4","Microsoft Corporation","20260810","","MsiExec.exe /X{5084D16B-E1D2-4F25-8B86-A03B4F9E1A72}","x86"
"InstalledApplication","WIN-DEMO-APP01","Browser for SQL Server 2016","13.2.5026.0","Microsoft Corporation","20260810","","MsiExec.exe /X{5B860485-0F07-41DC-BA8C-3A839A141FBA}","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Analysis Services ADOMD.NET","14.0.1000.397","Microsoft Corporation","20260813","","MsiExec.exe /I{9650D7DF-5E84-486B-A9B3-462C53DF3A03}","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual Studio Tools for Applications 2015","14.0.23829","Microsoft Corporation",,,"""C:\ProgramData\Package Cache\{ab213ab7-4792-4c6f-a3fa-8485d06c3475}\vsta_setup.exe""  /uninstall","x86"
"InstalledApplication","WIN-DEMO-APP01","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260810","","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}","x86"
