"Category","ServerName","TaskPath","TaskName","State","RunAs","Actions","LastRunTime","LastResult","NextRunTime","Author","Description"
"ScheduledTask","192.168.149.10","\","CreateExplorerShellUnelevatedTask","Ready","Administrator","C:\Windows\Explorer.EXE /NOUACCHECK","8/17/2026 9:47:47 AM","259",,"ExplorerShellUnelevated",
"ScheduledTask","192.168.149.10","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319","Ready","SYSTEM","CimInstance","8/14/2026 3:17:17 PM","0",,,
"ScheduledTask","192.168.149.10","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 64","Ready","SYSTEM","CimInstance","8/14/2026 3:17:17 PM","0",,,
"ScheduledTask","192.168.149.10","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 64 Critical","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","192.168.149.10","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 Critical","Disabled","SYSTEM","CimInstance","11/30/1999 6:00:00 PM","267011",,,
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Automated)","Disabled",,"CimInstance","11/30/1999 6:00:00 PM","267011","8/20/2026 8:50:50 PM","Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Active Directory Rights Management Services Client\","AD RMS Rights Policy Template Management (Manual)","Ready",,"CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\AppID\","EDP Policy Manager","Ready","LOCAL SERVICE","CimInstance","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","This task performs steps necessary to configure Enterprise Data Protection."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\AppID\","PolicyConverter","Disabled","SYSTEM","%windir%\system32\appidpolicyconverter.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Converts the software restriction policies policy from XML into binary format."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\AppID\","SmartScreenSpecific","Ready","SYSTEM","CimInstance","8/17/2026 10:17:17 AM","0",,"Microsoft Corporation","Task that collects data for SmartScreen in Windows"
"ScheduledTask","192.168.149.10","\Microsoft\Windows\AppID\","VerifiedPublisherCertStoreCheck","Disabled","LOCAL SERVICE","%windir%\system32\appidcertstorecheck.exe","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Inspects the AppID certificate cache for invalid or revoked certificates."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Application Experience\","Microsoft Compatibility Appraiser","Ready","SYSTEM","%windir%\system32\compattelrunner.exe","8/19/2026 9:18:18 PM","0","8/20/2026 8:46:46 PM","$(@%SystemRoot%\system32\appraiser.dll,-501)","$(@%SystemRoot%\system32\appraiser.dll,-502)"
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Application Experience\","ProgramDataUpdater","Ready","SYSTEM","%windir%\system32\compattelrunner.exe -maintenance","8/14/2026 3:17:17 PM","0",,"$(@%SystemRoot%\system32\invagent.dll,-701)","$(@%SystemRoot%\system32\invagent.dll,-702)"
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Application Experience\","StartupAppTask","Ready",,"%windir%\system32\rundll32.exe Startupscan.dll,SusRunTask","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Scans startup entries and raises notification to the user if there are too many startup entries."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\ApplicationData\","appuriverifierdaily","Ready",,"%windir%\system32\AppHostRegistrationVerifier.exe","8/19/2026 8:00:00 PM","0","8/20/2026 8:00:00 PM","Microsoft Corporation","Verifies AppUriHandler host registrations."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\ApplicationData\","appuriverifierinstall","Ready",,"%windir%\system32\AppHostRegistrationVerifier.exe","11/30/1999 6:00:00 PM","267011","8/22/2026 8:00:00 PM","Microsoft Corporation","Verifies AppUriHandler host registrations."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\ApplicationData\","CleanupTemporaryState","Ready","SYSTEM","%windir%\system32\rundll32.exe Windows.Storage.ApplicationData.dll,CleanupTemporaryState","11/30/1999 6:00:00 PM","267011",,"Microsoft Corporation","Cleans up each package's unused temporary files."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\ApplicationData\","DsSvcCleanup","Ready","SYSTEM","%windir%\system32\dstokenclean.exe","8/14/2026 3:17:17 PM","2147944153",,"Microsoft Corporation","Performs maintenance for the Data Sharing Service."
"ScheduledTask","192.168.149.10","\Microsoft\Windows\AppxDeploymentClient\","Pre-staged app cleanup","Disabled","SYSTEM","%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask","8/11/2026 10:14:14 PM","0",,,
"ScheduledTask","192.168.149.10","\Microsoft\Windows\Autochk\","Proxy","Ready","SYSTEM","%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations","8/14/2026 3:47:47 PM","0",,"Microsoft Corporation","This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program."
